subject,category,ks2sub,U,G,F,E,D,C,B,A,A*
Computer Science,not disadvantaged,2,12,18,20,13,14,10,8,3,0
Computer Science,not disadvantaged,3c,15,22,14,28,15,14,3,0,0
Computer Science,not disadvantaged,3b,40,47,52,76,75,48,15,6,0
Computer Science,not disadvantaged,3a,42,58,72,96,124,76,28,5,0
Computer Science,not disadvantaged,4c,82,142,184,249,406,354,136,2,2
Computer Science,not disadvantaged,4b,133,199,382,575,953,1148,656,195,24
Computer Science,not disadvantaged,4a,57,121,193,364,698,1087,930,383,73
Computer Science,not disadvantaged,5c,48,87,161,394,802,1706,1949,1254,339
Computer Science,not disadvantaged,5b,25,43,78,174,405,1058,1840,2091,1076
Computer Science,not disadvantaged,5a,0,2,0,2,8,30,93,153,204
Core Science,not disadvantaged,W,3,3,8,2,4,6,2,2,0
Core Science,not disadvantaged,1,22,42,63,32,12,2,2,0,0
Core Science,not disadvantaged,2,165,715,1286,1038,535,241,46,12,0
Core Science,not disadvantaged,3c,62,336,954,1179,816,272,43,9,0
Core Science,not disadvantaged,3b,147,469,1666,2886,2788,1294,225,16,0
Core Science,not disadvantaged,3a,97,225,1159,2867,4223,2603,401,2,2
Core Science,not disadvantaged,4c,155,347,1630,4998,10294,9390,2341,193,3
Core Science,not disadvantaged,4b,187,336,1418,5613,18366,26503,10558,1415,58
Core Science,not disadvantaged,4a,85,102,277,1490,7527,18094,12441,2901,152
Core Science,not disadvantaged,5c,66,61,150,766,4600,15877,17422,7191,794
Core Science,not disadvantaged,5b,22,19,45,163,1097,5562,10017,8604,2287
Core Science,not disadvantaged,5a,2,0,0,2,3,37,155,452,375
Design and Technology: Textiles,not disadvantaged,W,0,0,2,0,2,0,0,0,0
Design and Technology: Textiles,not disadvantaged,1,0,3,3,3,3,2,2,0,0
Design and Technology: Textiles,not disadvantaged,2,2,22,54,92,75,33,15,2,0
Design and Technology: Textiles,not disadvantaged,3c,6,11,35,59,83,65,16,3,0
Design and Technology: Textiles,not disadvantaged,3b,2,23,67,144,203,153,66,11,2
Design and Technology: Textiles,not disadvantaged,3a,2,14,53,96,194,229,132,31,2
Design and Technology: Textiles,not disadvantaged,4c,7,27,87,191,401,495,382,144,24
Design and Technology: Textiles,not disadvantaged,4b,15,31,92,224,601,1097,1122,536,135
Design and Technology: Textiles,not disadvantaged,4a,2,2,19,82,229,582,934,564,211
Design and Technology: Textiles,not disadvantaged,5c,2,2,24,46,139,543,1052,1006,555
Design and Technology: Textiles,not disadvantaged,5b,0,0,5,8,50,242,658,964,796
Design and Technology: Textiles,not disadvantaged,5a,0,0,0,0,2,2,12,41,93
Design and Technology: Systems and Control,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Design and Technology: Systems and Control,not disadvantaged,1,0,0,0,0,0,0,0,0,0
Design and Technology: Systems and Control,not disadvantaged,2,2,2,7,3,4,2,3,0,0
Design and Technology: Systems and Control,not disadvantaged,3c,0,4,3,4,3,2,0,2,0
Design and Technology: Systems and Control,not disadvantaged,3b,4,2,8,13,17,11,2,2,0
Design and Technology: Systems and Control,not disadvantaged,3a,2,2,6,12,27,21,7,0,0
Design and Technology: Systems and Control,not disadvantaged,4c,2,8,23,32,71,56,19,6,2
Design and Technology: Systems and Control,not disadvantaged,4b,3,12,19,65,102,157,74,20,5
Design and Technology: Systems and Control,not disadvantaged,4a,2,7,7,27,58,107,92,32,2
Design and Technology: Systems and Control,not disadvantaged,5c,2,2,14,35,77,139,160,93,29
Design and Technology: Systems and Control,not disadvantaged,5b,2,4,2,10,33,62,117,123,65
Design and Technology: Systems and Control,not disadvantaged,5a,0,0,0,0,0,4,6,4,12
Design and Technology: Electronic Products,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Design and Technology: Electronic Products,not disadvantaged,1,0,0,2,0,0,0,0,0,0
Design and Technology: Electronic Products,not disadvantaged,2,2,5,13,8,8,5,3,2,0
Design and Technology: Electronic Products,not disadvantaged,3c,4,9,10,17,13,6,2,2,0
Design and Technology: Electronic Products,not disadvantaged,3b,2,14,20,37,45,19,11,2,0
Design and Technology: Electronic Products,not disadvantaged,3a,9,13,33,47,60,52,16,2,2
Design and Technology: Electronic Products,not disadvantaged,4c,11,23,48,106,113,114,78,26,4
Design and Technology: Electronic Products,not disadvantaged,4b,17,23,65,140,254,327,243,70,11
Design and Technology: Electronic Products,not disadvantaged,4a,7,15,30,56,153,238,256,141,19
Design and Technology: Electronic Products,not disadvantaged,5c,5,15,26,60,154,270,435,328,90
Design and Technology: Electronic Products,not disadvantaged,5b,2,2,6,25,62,160,361,469,268
Design and Technology: Electronic Products,not disadvantaged,5a,0,0,0,0,0,4,10,23,40
English3,not disadvantaged,W,3,4,9,9,6,4,4,0,0
English3,not disadvantaged,1,28,49,80,65,22,2,2,0,0
English3,not disadvantaged,2,329,475,1393,2257,1671,513,65,11,3
English3,not disadvantaged,3c,182,169,702,1921,2281,782,93,9,3
English3,not disadvantaged,3b,265,209,932,3409,5931,3286,463,2,2
English3,not disadvantaged,3a,180,145,450,2338,6331,5570,901,88,4
English3,not disadvantaged,4c,255,175,610,3308,12508,16198,4404,479,31
English3,not disadvantaged,4b,215,181,435,2923,16985,37594,19069,3312,244
English3,not disadvantaged,4a,46,56,106,725,5850,22860,22122,6871,764
English3,not disadvantaged,5c,36,46,86,456,3954,20865,33432,17787,3311
English3,not disadvantaged,5b,12,16,31,82,903,7733,23830,25407,9436
English3,not disadvantaged,5a,0,0,0,0,5,65,578,1899,1916
English Literature,not disadvantaged,W,3,2,2,6,7,2,2,0,0
English Literature,not disadvantaged,1,20,28,36,27,11,9,3,0,0
English Literature,not disadvantaged,2,249,431,859,1124,742,251,55,2,2
English Literature,not disadvantaged,3c,165,256,644,1198,1017,384,95,15,3
English Literature,not disadvantaged,3b,284,470,1105,2501,3131,1707,394,60,7
English Literature,not disadvantaged,3a,211,332,815,2154,3883,2991,945,123,12
English Literature,not disadvantaged,4c,391,503,1307,3638,8565,9544,4199,737,74
English Literature,not disadvantaged,4b,501,554,1344,4196,13475,24349,17679,4248,435
English Literature,not disadvantaged,4a,189,195,425,1314,5478,16175,20482,7594,1117
English Literature,not disadvantaged,5c,153,136,312,915,3985,15953,29742,18197,4140
English Literature,not disadvantaged,5b,67,50,71,222,1197,6700,20939,24206,10195
English Literature,not disadvantaged,5a,0,2,0,2,7,69,543,1786,1856
Design and Technology: Food,not disadvantaged,W,0,0,2,2,0,2,0,0,0
Design and Technology: Food,not disadvantaged,1,2,4,13,5,3,0,0,2,0
Design and Technology: Food,not disadvantaged,2,2,64,155,212,151,72,19,2,0
Design and Technology: Food,not disadvantaged,3c,16,43,104,182,178,95,28,3,0
Design and Technology: Food,not disadvantaged,3b,19,68,173,344,447,293,87,17,3
Design and Technology: Food,not disadvantaged,3a,14,40,120,265,450,459,169,34,3
Design and Technology: Food,not disadvantaged,4c,32,59,183,373,898,1016,551,141,17
Design and Technology: Food,not disadvantaged,4b,27,74,208,502,1323,2080,1579,641,87
Design and Technology: Food,not disadvantaged,4a,13,21,47,157,461,1066,1255,734,163
Design and Technology: Food,not disadvantaged,5c,8,12,47,105,354,928,1461,1165,448
Design and Technology: Food,not disadvantaged,5b,3,6,15,30,118,403,846,1139,750
Design and Technology: Food,not disadvantaged,5a,0,0,0,0,3,5,17,65,117
French,not disadvantaged,W,0,0,0,0,0,2,0,0,0
French,not disadvantaged,1,2,2,2,2,3,0,2,2,0
French,not disadvantaged,2,7,19,36,49,52,42,16,6,5
French,not disadvantaged,3c,13,25,58,81,87,42,11,9,3
French,not disadvantaged,3b,16,59,167,262,333,200,55,17,10
French,not disadvantaged,3a,14,42,181,442,626,362,68,28,10
French,not disadvantaged,4c,33,121,445,1136,2218,1621,365,116,43
French,not disadvantaged,4b,43,193,783,2405,6076,6457,2103,613,223
French,not disadvantaged,4a,30,79,378,1443,4897,6856,3579,1368,457
French,not disadvantaged,5c,17,60,307,1250,4922,9897,7617,4399,1933
French,not disadvantaged,5b,7,25,98,423,2169,6172,7852,7744,5901
French,not disadvantaged,5a,0,0,2,2,27,116,323,716,1301
Geography,not disadvantaged,W,2,0,0,0,2,0,0,0,0
Geography,not disadvantaged,1,6,5,5,3,3,2,2,2,0
Geography,not disadvantaged,2,92,257,245,170,113,67,22,6,4
Geography,not disadvantaged,3c,65,222,302,299,167,70,16,2,2
Geography,not disadvantaged,3b,94,411,727,888,697,407,88,21,3
Geography,not disadvantaged,3a,80,302,707,1125,1185,875,183,38,8
Geography,not disadvantaged,4c,107,443,1210,2423,3529,3179,1124,250,32
Geography,not disadvantaged,4b,152,437,1483,3815,7478,9625,5388,1956,278
Geography,not disadvantaged,4a,41,109,458,1485,4129,7810,7107,3798,861
Geography,not disadvantaged,5c,30,73,273,1014,3304,8012,11032,9566,3502
Geography,not disadvantaged,5b,13,22,71,318,1016,3492,7643,11649,8407
Geography,not disadvantaged,5a,0,0,0,0,9,43,189,674,1398
German,not disadvantaged,W,0,0,0,0,0,2,0,0,0
German,not disadvantaged,1,0,0,0,0,0,0,0,0,0
German,not disadvantaged,2,2,4,8,21,15,14,4,2,0
German,not disadvantaged,3c,2,12,17,18,24,15,8,2,2
German,not disadvantaged,3b,3,11,58,80,97,40,20,7,6
German,not disadvantaged,3a,4,16,42,120,230,126,30,9,7
German,not disadvantaged,4c,9,42,123,314,701,534,128,48,9
German,not disadvantaged,4b,11,53,188,679,2005,2221,824,208,68
German,not disadvantaged,4a,7,30,94,398,1759,2695,1401,466,128
German,not disadvantaged,5c,5,24,92,368,1795,4137,3392,1631,569
German,not disadvantaged,5b,2,2,16,127,817,2791,4058,3430,2000
German,not disadvantaged,5a,0,0,2,2,5,46,183,399,557
Design and Technology: Graphics Products,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Design and Technology: Graphics Products,not disadvantaged,1,0,0,2,2,2,0,2,0,0
Design and Technology: Graphics Products,not disadvantaged,2,24,40,81,86,47,28,2,2,0
Design and Technology: Graphics Products,not disadvantaged,3c,25,41,98,79,58,29,6,6,0
Design and Technology: Graphics Products,not disadvantaged,3b,48,94,144,215,212,134,50,19,0
Design and Technology: Graphics Products,not disadvantaged,3a,45,78,117,220,272,196,67,2,2
Design and Technology: Graphics Products,not disadvantaged,4c,43,110,216,444,649,563,306,81,10
Design and Technology: Graphics Products,not disadvantaged,4b,86,148,319,674,1135,1509,937,372,89
Design and Technology: Graphics Products,not disadvantaged,4a,27,56,92,274,648,1016,899,520,157
Design and Technology: Graphics Products,not disadvantaged,5c,28,37,84,232,568,1224,1333,999,384
Design and Technology: Graphics Products,not disadvantaged,5b,8,17,46,106,260,643,1027,1094,722
Design and Technology: Graphics Products,not disadvantaged,5a,0,0,2,2,2,27,37,77,92
Child Development,not disadvantaged,W,0,0,2,0,0,0,0,0,0
Child Development,not disadvantaged,1,0,0,2,0,0,0,0,0,0
Child Development,not disadvantaged,2,15,43,95,94,44,12,2,2,0
Child Development,not disadvantaged,3c,8,35,71,85,75,42,2,2,0
Child Development,not disadvantaged,3b,10,47,112,215,244,146,50,2,2
Child Development,not disadvantaged,3a,9,24,72,169,257,230,77,8,3
Child Development,not disadvantaged,4c,13,34,114,259,508,535,295,82,9
Child Development,not disadvantaged,4b,18,36,106,299,709,982,734,272,47
Child Development,not disadvantaged,4a,3,10,41,86,224,449,520,294,69
Child Development,not disadvantaged,5c,3,11,23,26,149,315,469,339,105
Child Development,not disadvantaged,5b,2,4,2,12,42,102,220,233,127
Child Development,not disadvantaged,5a,0,0,0,0,0,0,2,2,7
History,not disadvantaged,W,2,0,0,2,0,2,2,0,0
History,not disadvantaged,1,4,2,0,5,2,0,0,0,0
History,not disadvantaged,2,145,200,175,134,105,44,31,2,2
History,not disadvantaged,3c,141,215,233,189,136,88,31,2,2
History,not disadvantaged,3b,294,490,700,636,537,346,140,2,2
History,not disadvantaged,3a,216,470,798,944,990,710,278,76,7
History,not disadvantaged,4c,391,856,1520,2301,2846,2649,1392,398,54
History,not disadvantaged,4b,523,1076,2327,4317,6673,8641,6478,2509,411
History,not disadvantaged,4a,175,364,857,1918,4161,7172,7846,4851,1049
History,not disadvantaged,5c,129,249,590,1435,3536,8192,12394,11138,4174
History,not disadvantaged,5b,42,79,177,463,1316,3966,8941,13768,9712
History,not disadvantaged,5a,0,0,2,2,11,56,266,865,1662
Vocational Health,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Vocational Health,not disadvantaged,1,0,0,0,0,0,0,0,0,0
Vocational Health,not disadvantaged,2,0,2,5,3,4,2,2,0,0
Vocational Health,not disadvantaged,3c,2,2,2,4,4,3,2,2,0
Vocational Health,not disadvantaged,3b,0,2,7,10,19,16,12,2,2
Vocational Health,not disadvantaged,3a,0,2,4,5,17,16,9,2,0
Vocational Health,not disadvantaged,4c,0,2,2,14,27,41,40,7,4
Vocational Health,not disadvantaged,4b,0,2,2,21,35,74,91,35,6
Vocational Health,not disadvantaged,4a,0,2,0,2,10,30,52,38,5
Vocational Health,not disadvantaged,5c,2,0,2,3,12,24,57,51,8
Vocational Health,not disadvantaged,5b,0,0,0,0,2,2,20,30,12
Vocational Health,not disadvantaged,5a,0,0,0,0,0,0,0,2,2
ICT,not disadvantaged,W,2,0,3,0,4,2,0,0,0
ICT,not disadvantaged,1,4,9,9,5,2,6,2,0,0
ICT,not disadvantaged,2,94,130,194,239,193,103,34,2,2
ICT,not disadvantaged,3c,72,135,185,263,281,166,33,2,2
ICT,not disadvantaged,3b,146,255,350,540,723,534,197,36,3
ICT,not disadvantaged,3a,138,207,342,547,862,794,343,64,4
ICT,not disadvantaged,4c,213,436,687,1070,2028,2493,1253,318,17
ICT,not disadvantaged,4b,280,569,1039,1767,3593,6147,4686,1506,171
ICT,not disadvantaged,4a,109,223,449,879,1947,4006,4407,2221,327
ICT,not disadvantaged,5c,87,160,356,782,1756,4521,6906,5079,1276
ICT,not disadvantaged,5b,36,75,148,293,785,2375,4989,6389,2917
ICT,not disadvantaged,5a,0,2,2,5,10,50,161,373,416
Vocational Leisure & Tourism,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Vocational Leisure & Tourism,not disadvantaged,1,0,0,0,0,0,0,0,0,0
Vocational Leisure & Tourism,not disadvantaged,2,0,2,0,0,2,0,0,0,0
Vocational Leisure & Tourism,not disadvantaged,3c,0,2,0,4,2,0,2,0,0
Vocational Leisure & Tourism,not disadvantaged,3b,0,0,2,2,6,0,0,0,0
Vocational Leisure & Tourism,not disadvantaged,3a,0,0,2,2,2,4,2,2,0
Vocational Leisure & Tourism,not disadvantaged,4c,0,0,4,4,4,8,2,2,0
Vocational Leisure & Tourism,not disadvantaged,4b,0,2,2,5,12,11,14,2,2
Vocational Leisure & Tourism,not disadvantaged,4a,0,0,2,2,7,6,6,8,2
Vocational Leisure & Tourism,not disadvantaged,5c,0,0,0,2,0,6,9,3,2
Vocational Leisure & Tourism,not disadvantaged,5b,0,0,0,2,0,2,6,2,0
Vocational Leisure & Tourism,not disadvantaged,5a,0,0,0,0,0,0,0,0,0
Maths4,not disadvantaged,W,12,9,2,4,3,11,3,0,2
Maths4,not disadvantaged,1,160,65,31,23,16,12,2,0,2
Maths4,not disadvantaged,2,2236,1659,1180,814,647,406,66,21,12
Maths4,not disadvantaged,3c,1101,1284,1212,1052,988,647,60,2,2
Maths4,not disadvantaged,3b,1286,1954,2590,2773,3401,2494,284,46,9
Maths4,not disadvantaged,3a,617,970,1808,2658,4856,4758,522,66,12
Maths4,not disadvantaged,4c,785,1106,2245,4178,10606,16079,2959,434,52
Maths4,not disadvantaged,4b,603,606,1406,3689,16371,41125,14505,2883,416
Maths4,not disadvantaged,4a,138,76,164,676,5511,25626,19546,6693,1301
Maths4,not disadvantaged,5c,125,32,76,333,3004,20239,29375,19522,7694
Maths4,not disadvantaged,5b,43,2,2,40,584,6171,16738,22562,21647
Maths4,not disadvantaged,5a,0,0,0,0,2,2,251,966,3220
Media Studies,not disadvantaged,W,0,0,2,2,0,2,2,0,0
Media Studies,not disadvantaged,1,2,3,5,5,2,2,0,0,0
Media Studies,not disadvantaged,2,19,71,92,165,127,72,18,3,0
Media Studies,not disadvantaged,3c,14,41,89,168,173,106,21,3,0
Media Studies,not disadvantaged,3b,41,60,164,340,505,341,111,12,0
Media Studies,not disadvantaged,3a,2,56,145,336,555,552,200,36,2
Media Studies,not disadvantaged,4c,79,107,235,491,1169,1520,760,176,22
Media Studies,not disadvantaged,4b,79,91,275,725,1677,3008,2215,739,93
Media Studies,not disadvantaged,4a,36,37,86,244,713,1804,1996,1036,229
Media Studies,not disadvantaged,5c,16,39,71,145,509,1468,2319,1650,495
Media Studies,not disadvantaged,5b,6,9,17,40,165,689,1358,1445,652
Media Studies,not disadvantaged,5a,0,0,0,0,2,2,33,72,61
Music,not disadvantaged,W,0,0,0,0,0,0,2,0,0
Music,not disadvantaged,1,0,2,2,2,0,0,0,0,0
Music,not disadvantaged,2,16,25,45,50,44,24,2,2,0
Music,not disadvantaged,3c,16,26,31,54,55,23,2,2,0
Music,not disadvantaged,3b,18,33,59,143,163,116,48,2,2
Music,not disadvantaged,3a,17,38,53,158,184,167,86,2,2
Music,not disadvantaged,4c,35,62,124,303,461,526,331,101,3
Music,not disadvantaged,4b,41,80,202,543,971,1419,1233,508,74
Music,not disadvantaged,4a,9,34,87,273,640,1248,1432,754,118
Music,not disadvantaged,5c,11,23,67,217,621,1487,2454,1974,456
Music,not disadvantaged,5b,2,2,23,83,291,966,2425,3109,1417
Music,not disadvantaged,5a,0,0,2,2,7,22,131,323,315
Office Technology,not disadvantaged,W,0,2,0,0,0,0,0,0,0
Office Technology,not disadvantaged,1,2,2,2,0,0,0,0,0,0
Office Technology,not disadvantaged,2,7,26,30,35,14,11,2,2,0
Office Technology,not disadvantaged,3c,15,19,31,26,26,15,2,2,0
Office Technology,not disadvantaged,3b,25,45,56,81,74,47,2,2,0
Office Technology,not disadvantaged,3a,6,23,44,107,86,77,32,5,0
Office Technology,not disadvantaged,4c,30,35,114,178,255,227,124,2,2
Office Technology,not disadvantaged,4b,21,55,112,211,480,652,456,137,11
Office Technology,not disadvantaged,4a,6,8,32,78,224,433,429,203,20
Office Technology,not disadvantaged,5c,7,5,20,53,161,437,617,432,70
Office Technology,not disadvantaged,5b,2,2,4,11,66,186,408,420,158
Office Technology,not disadvantaged,5a,0,0,0,0,2,2,12,26,18
Physical Education,not disadvantaged,W,0,2,2,2,0,2,0,0,0
Physical Education,not disadvantaged,1,2,5,4,4,2,2,0,0,0
Physical Education,not disadvantaged,2,13,67,137,209,153,87,31,3,0
Physical Education,not disadvantaged,3c,7,29,126,266,232,158,46,7,0
Physical Education,not disadvantaged,3b,2,53,225,615,683,520,193,39,2
Physical Education,not disadvantaged,3a,17,40,210,639,952,832,397,99,6
Physical Education,not disadvantaged,4c,20,59,304,1209,2303,2673,1421,384,29
Physical Education,not disadvantaged,4b,26,64,310,1760,4565,6453,4484,1802,183
Physical Education,not disadvantaged,4a,8,22,124,657,2486,4911,4391,2456,384
Physical Education,not disadvantaged,5c,6,22,91,495,2117,5258,6154,4782,1127
Physical Education,not disadvantaged,5b,2,2,23,161,901,2910,4570,5347,2230
Physical Education,not disadvantaged,5a,0,0,0,2,2,65,134,337,278
Physics,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Physics,not disadvantaged,1,0,0,0,2,0,0,0,2,0
Physics,not disadvantaged,2,0,2,6,3,12,7,14,10,2
Physics,not disadvantaged,3c,2,2,5,12,10,9,6,2,2
Physics,not disadvantaged,3b,2,2,11,31,62,42,27,17,0
Physics,not disadvantaged,3a,4,2,9,45,137,136,54,12,2
Physics,not disadvantaged,4c,4,14,30,112,547,727,402,118,17
Physics,not disadvantaged,4b,6,18,61,284,1652,3608,2706,1067,137
Physics,not disadvantaged,4a,10,14,40,208,1394,4706,5102,2629,472
Physics,not disadvantaged,5c,15,12,41,150,1483,6599,11030,9510,3044
Physics,not disadvantaged,5b,2,2,11,63,555,3491,9324,14584,10894
Physics,not disadvantaged,5a,0,0,0,2,2,52,264,917,2095
Design and Technology: Resistant Materials,not disadvantaged,W,0,0,0,2,4,2,0,0,0
Design and Technology: Resistant Materials,not disadvantaged,1,3,11,14,10,5,6,0,0,0
Design and Technology: Resistant Materials,not disadvantaged,2,37,80,222,264,231,109,24,2,2
Design and Technology: Resistant Materials,not disadvantaged,3c,27,81,168,223,253,130,47,2,2
Design and Technology: Resistant Materials,not disadvantaged,3b,42,108,254,483,541,424,125,14,0
Design and Technology: Resistant Materials,not disadvantaged,3a,46,98,188,397,579,581,214,28,6
Design and Technology: Resistant Materials,not disadvantaged,4c,72,152,361,711,1213,1312,576,134,11
Design and Technology: Resistant Materials,not disadvantaged,4b,95,154,384,908,1821,2464,1513,510,51
Design and Technology: Resistant Materials,not disadvantaged,4a,28,51,149,346,811,1454,1186,511,107
Design and Technology: Resistant Materials,not disadvantaged,5c,26,32,94,246,591,1458,1578,964,264
Design and Technology: Resistant Materials,not disadvantaged,5b,6,14,27,69,227,636,1103,966,512
Design and Technology: Resistant Materials,not disadvantaged,5a,0,0,0,0,2,2,26,75,73
Religious Studies,not disadvantaged,W,5,2,4,2,3,2,3,2,0
Religious Studies,not disadvantaged,1,22,14,10,2,7,2,5,0,0
Religious Studies,not disadvantaged,2,304,376,412,304,258,153,73,21,3
Religious Studies,not disadvantaged,3c,227,322,403,415,316,238,95,27,7
Religious Studies,not disadvantaged,3b,303,561,878,1091,1093,831,450,102,17
Religious Studies,not disadvantaged,3a,237,415,845,1250,1349,1371,689,211,26
Religious Studies,not disadvantaged,4c,310,695,1410,2453,3512,4032,2773,886,171
Religious Studies,not disadvantaged,4b,357,716,1689,3576,6583,10235,9553,4405,1002
Religious Studies,not disadvantaged,4a,98,212,541,1370,3488,7258,9485,6002,1927
Religious Studies,not disadvantaged,5c,62,124,349,1090,2868,7560,13126,11809,5502
Religious Studies,not disadvantaged,5b,20,41,101,288,1044,3614,9214,12747,10373
Religious Studies,not disadvantaged,5a,0,0,2,0,2,50,264,735,1398
Spanish,not disadvantaged,W,0,0,0,0,2,0,0,0,2
Spanish,not disadvantaged,1,0,0,0,2,2,0,0,2,2
Spanish,not disadvantaged,2,6,14,21,21,24,21,24,21,14
Spanish,not disadvantaged,3c,6,15,31,43,40,34,9,10,5
Spanish,not disadvantaged,3b,19,53,81,121,132,98,33,28,16
Spanish,not disadvantaged,3a,26,48,100,196,239,185,64,35,12
Spanish,not disadvantaged,4c,32,104,243,570,923,683,234,125,70
Spanish,not disadvantaged,4b,48,150,470,1251,2929,3137,1291,517,275
Spanish,not disadvantaged,4a,29,65,234,781,2327,3508,1978,934,438
Spanish,not disadvantaged,5c,17,62,199,643,2467,4788,4185,2817,1547
Spanish,not disadvantaged,5b,7,22,55,224,1036,2959,4073,4248,4068
Spanish,not disadvantaged,5a,0,0,2,2,15,59,161,319,678
Additional Science,not disadvantaged,W,0,2,3,2,2,5,3,0,2
Additional Science,not disadvantaged,1,4,16,7,5,2,2,3,0,0
Additional Science,not disadvantaged,2,61,223,500,430,269,143,58,2,2
Additional Science,not disadvantaged,3c,38,182,451,567,454,187,40,11,0
Additional Science,not disadvantaged,3b,62,261,919,1658,1673,958,218,25,3
Additional Science,not disadvantaged,3a,67,189,737,1908,2977,1938,421,35,7
Additional Science,not disadvantaged,4c,94,275,1129,3800,8097,7491,2166,292,12
Additional Science,not disadvantaged,4b,120,338,1277,4992,15976,22488,9659,1760,140
Additional Science,not disadvantaged,4a,51,89,307,1546,7404,16330,11177,3321,320
Additional Science,not disadvantaged,5c,41,71,179,896,4873,14735,15623,7447,1375
Additional Science,not disadvantaged,5b,22,28,34,183,1290,5215,9056,7923,3407
Additional Science,not disadvantaged,5a,0,0,0,2,2,42,137,381,441
Statistics,not disadvantaged,W,0,2,0,0,0,0,0,0,0
Statistics,not disadvantaged,1,2,6,3,2,2,2,2,0,0
Statistics,not disadvantaged,2,33,90,100,86,32,13,2,2,0
Statistics,not disadvantaged,3c,2,60,98,103,72,35,2,0,0
Statistics,not disadvantaged,3b,32,90,161,243,228,119,15,3,0
Statistics,not disadvantaged,3a,27,32,101,236,370,231,21,2,2
Statistics,not disadvantaged,4c,46,47,166,443,996,945,189,26,3
Statistics,not disadvantaged,4b,59,32,130,539,1838,2940,1020,221,11
Statistics,not disadvantaged,4a,43,9,26,154,860,2395,1561,616,35
Statistics,not disadvantaged,5c,29,3,15,93,677,2721,3168,2056,334
Statistics,not disadvantaged,5b,13,2,2,30,198,1181,2436,3196,1122
Statistics,not disadvantaged,5a,0,0,0,2,2,11,80,271,214
Vocational Business,not disadvantaged,W,0,0,0,0,0,0,0,0,0
Vocational Business,not disadvantaged,1,0,0,0,0,0,0,0,0,0
Vocational Business,not disadvantaged,2,0,2,2,0,4,2,0,0,0
Vocational Business,not disadvantaged,3c,2,3,2,3,2,2,0,0,0
Vocational Business,not disadvantaged,3b,2,0,2,10,6,6,2,2,0
Vocational Business,not disadvantaged,3a,2,2,5,2,8,11,4,2,0
Vocational Business,not disadvantaged,4c,2,2,3,14,33,31,25,7,3
Vocational Business,not disadvantaged,4b,3,4,8,6,28,84,103,31,0
Vocational Business,not disadvantaged,4a,2,2,2,8,25,57,91,66,12
Vocational Business,not disadvantaged,5c,2,0,5,2,14,50,105,102,33
Vocational Business,not disadvantaged,5b,0,0,0,4,9,13,60,91,45
Vocational Business,not disadvantaged,5a,0,0,0,0,0,2,2,2,4
Art,all students,W,2,10,22,7,11,20,2,3,0
Art,all students,1,9,48,90,106,92,82,22,5,0
Art,all students,2,84,330,647,1058,1363,1455,415,78,29
Art,all students,3c,59,156,388,622,1074,1419,365,79,23
Art,all students,3b,94,288,626,1217,2107,3339,1050,270,82
Art,all students,3a,71,194,474,834,1839,3285,1303,361,110
Art,all students,4c,111,302,814,1553,3523,7352,3413,1095,386
Art,all students,4b,156,371,952,2034,5070,13206,8122,3267,1273
Art,all students,4a,55,135,331,747,2265,7016,6242,3265,1436
Art,all students,5c,37,94,250,657,1914,6829,7728,5268,2922
Art,all students,5b,14,26,69,225,820,3437,5610,5210,4108
Art,all students,5a,0,2,0,2,20,89,223,377,491
Biology,all students,W,2,2,0,0,0,0,0,0,0
Biology,all students,1,3,0,2,0,2,0,0,2,0
Biology,all students,2,37,12,17,22,20,21,14,11,5
Biology,all students,3c,23,20,20,20,18,18,6,2,2
Biology,all students,3b,44,32,41,69,91,76,42,2,2
Biology,all students,3a,25,16,44,105,196,178,75,24,3
Biology,all students,4c,44,54,85,249,740,950,537,140,21
Biology,all students,4b,40,56,155,522,2284,4395,3526,1385,147
Biology,all students,4a,12,16,64,327,1793,5432,6179,3207,481
Biology,all students,5c,22,23,41,275,1931,7699,13135,10743,3088
Biology,all students,5b,6,5,13,70,702,4269,11199,16682,10260
Biology,all students,5a,2,2,0,2,4,52,327,1111,2038
Business Studies,all students,W,2,2,2,0,0,2,0,0,0
Business Studies,all students,1,2,6,3,2,2,4,0,0,0
Business Studies,all students,2,72,135,109,65,48,28,6,4,0
Business Studies,all students,3c,80,136,152,124,77,36,2,2,0
Business Studies,all students,3b,144,357,461,403,344,182,54,7,0
Business Studies,all students,3a,121,251,457,569,627,369,125,2,2
Business Studies,all students,4c,199,400,826,1324,1772,1448,595,112,7
Business Studies,all students,4b,194,435,997,2140,3857,4788,2845,721,57
Business Studies,all students,4a,65,115,304,872,2174,3859,3442,1254,156
Business Studies,all students,5c,42,78,185,510,1681,3910,5728,3109,527
Business Studies,all students,5b,6,17,51,131,501,1717,3843,4013,1195
Business Studies,all students,5a,0,0,0,2,2,12,87,259,167
Chemistry,all students,W,0,0,0,0,0,0,0,0,0
Chemistry,all students,1,0,0,0,0,2,0,0,2,0
Chemistry,all students,2,2,2,8,11,12,17,17,12,4
